1,22-01-2020,0,0
2,23-01-2020,0,0
3,24-01-2020,0,0
4,25-01-2020,0,0
5,26-01-2020,0,0
6,27-01-2020,0,0
7,28-01-2020,0,0
8,29-01-2020,0,0
9,30-01-2020,0,0
10,31-01-2020,2,0
11,01-02-2020,2,0
12,02-02-2020,2,0
13,03-02-2020,2,0
14,04-02-2020,2,0
15,05-02-2020,2,0
16,06-02-2020,2,0
17,07-02-2020,3,0
18,08-02-2020,3,0
19,09-02-2020,3,0
20,10-02-2020,3,0
21,11-02-2020,3,0
22,12-02-2020,3,0
23,13-02-2020,3,0
24,14-02-2020,3,0
25,15-02-2020,3,0
26,16-02-2020,3,0
27,17-02-2020,3,0
28,18-02-2020,3,0
29,19-02-2020,3,0
30,20-02-2020,3,0
31,21-02-2020,20,1
32,22-02-2020,62,2
33,23-02-2020,155,3
34,24-02-2020,229,7
35,25-02-2020,322,10
36,26-02-2020,453,12
37,27-02-2020,655,17
38,28-02-2020,888,21
39,29-02-2020,1128,29
40,01-03-2020,1694,34
41,02-03-2020,2036,52
42,03-03-2020,2502,79
43,04-03-2020,3089,107
44,05-03-2020,3858,148
45,06-03-2020,4636,197
46,07-03-2020,5883,233
47,08-03-2020,7375,366
48,09-03-2020,9172,463
49,10-03-2020,10149,631
50,11-03-2020,12462,827
51,12-03-2020,12462,827
52,13-03-2020,17660,1266
53,14-03-2020,21157,1441
54,15-03-2020,24747,1809
55,16-03-2020,27980,2158
56,17-03-2020,31506,2503
57,18-03-2020,35713,2978
58,19-03-2020,41035,3405
59,20-03-2020,47021,4032
60,21-03-2020,53578,4825
61,22-03-2020,59138,5476
62,23-03-2020,63927,6077
63,24-03-2020,69176,6820
64,25-03-2020,74386,7503
65,26-03-2020,80589,8215
66,27-03-2020,86498,9134
67,28-03-2020,92472,10023
68,29-03-2020,97689,10779
69,30-03-2020,101739,11591
70,31-03-2020,105792,12428
71,01-04-2020,110574,13155
72,02-04-2020,115242,13915
73,03-04-2020,119827,14681
74,04-04-2020,124632,15362
75,05-04-2020,128948,15887
76,06-04-2020,132547,16523
77,07-04-2020,135586,17127
78,08-04-2020,139422,17669
79,09-04-2020,143626,18279
80,10-04-2020,147577,18849
81,11-04-2020,152271,19468
82,12-04-2020,156363,19899
83,13-04-2020,159516,20465
84,14-04-2020,162488,21067
85,15-04-2020,165155,21645
86,16-04-2020,168941,22170
87,17-04-2020,172434,22745
88,18-04-2020,175925,23227
89,19-04-2020,178972,23660
90,20-04-2020,181228,24114
91,21-04-2020,183957,24648
92,22-04-2020,187327,25085
